
Below 0.8:

(',', ',', 0.7985562378667049)

Between 0.8 and 0.9:

('是', 'shi', 0.8954156271579599)
('被', 'bei', 0.8829381527221901)
('、', '、', 0.867305417530458)
('時代', 'shidai', 0.8925336695080622)
('新石器', 'xinshiqi', 0.884750551025798)
('9', '9', 0.8595639139598462)
('一', 'yi', 0.8913975807373545)
('們', 'men', 0.8790013838422022)
('它', 'ta', 0.8964980983132447)
('里', 'li', 0.8949700783639982)
('伊特魯', 'yitelu', 0.8958668006070908)
('基人', 'jiren', 0.853607824012418)
('只', 'zhi', 0.8790687339729796)
('之', 'zhi', 0.897893914554077)
('人類', 'renlei', 0.8970081066399479)
('年前', 'nianqian', 0.8980192975078815)
('發現', 'faxian', 0.8915087654059439)
('曾', 'ceng', 0.8999440413053195)
('而', 'er', 0.8805550521787294)
('處', 'chu', 0.8469309226886448)
('個', 'ge', 0.895711474908772)
('太', 'tai', 0.8936866304993281)
('迦', 'jia', 0.8752700565760873)
('腓尼', 'feini', 0.8907910699189113)
('件', 'jian', 0.8963782879168477)
('認為', 'renwei', 0.896895287515589)
('家', 'jia', 0.8572087981167822)
('500', '500', 0.874419003045599)
('至', 'zhi', 0.8628725593569693)
('200', '200', 0.8588457466927248)
('约', 'yue', 0.8838874960981485)
('馴化', 'xunhua', 0.8893891145589435)
('或', 'huo', 0.8900223835515279)
('腹', 'fu', 0.887769508104478)
('貓果', 'maoguo', 0.8821975292440075)
('吃', 'chi', 0.885018558829029)
('过程', 'guocheng', 0.8928274016847588)
('这个', 'zhege', 0.8871966733363036)
('成为', 'chengwei', 0.8975863416067734)
('一起', 'yiqi', 0.895263064652558)
('隔离', 'geli', 0.8946543526050096)
('生殖', 'shengzhi', 0.89251226221002)
('与', 'yu', 0.8988967204023354)
('不是', 'bushi', 0.8974650249828166)
('過程', 'guocheng', 0.8912421278497585)
('特點', 'tedian', 0.8968820368671923)
('畏寒', 'weihan', 0.8917050939739937)
('著', 'zhu', 0.8856880671874329)
('保存', 'baocun', 0.8887497604078589)
('都', 'dou', 0.895294629103993)
('到今', 'daojin', 0.8984029375061908)

Over 0.9:

('的', 'de', 0.9259579979138406)
('，', '，', 0.9226690051141611)
('。', '。', 0.9387699026966378)
('在', 'zai', 0.9021518148692547)
('了', 'le', 0.9335716918999509)
('和', 'he', 0.9052304310345823)
('貓', 'mao', 0.9075298107676162)
('猫', 'mao', 0.9035372961411731)
('世紀', 'shiji', 0.9014509781587854)
('動物', 'dongwu', 0.9161624490009215)
('有', 'you', 0.9106870664459032)
('家貓', 'jiamao', 0.9267970599681599)
('已', 'yi', 0.916091088618932)
('前', 'qian', 0.9193796628862352)
('埃及', 'aiji', 0.9230075432639142)
('野貓', 'yemao', 0.910401229433297)
('歐洲', 'ouzhou', 0.9151019774834493)
('傳入', 'chuanru', 0.9153413706240048)
('毛貓', 'maomao', 0.9055156698197098)
('家猫', 'jiamao', 0.9282624081684748)
('中国', 'zhongguo', 0.943079344011142)
('馴服', 'xunfu', 0.9054790999895305)
('到', 'dao', 0.9164949138277121)
('由', 'you', 0.9160289221842222)
('中', 'zhong', 0.9284260169535805)
('可能', 'keneng', 0.9234566076916377)
('及', 'ji', 0.9082847300336175)
('非洲', 'feizhou', 0.9222153704289557)
('培育', 'peiyu', 0.9190278745464255)
('短', 'duan', 0.9156142722033375)
('純種', 'chunzhong', 0.9278293594276135)
('當時', 'dangshi', 0.9010814370892387)
('紀時', 'jishi', 0.9112108684924104)
('5', '5', 0.9256644916565194)
('帝國', 'diguo', 0.9020405033107745)
('羅馬', 'luoma', 0.915094437054432)
('左右', 'zuoyou', 0.9394304252142711)
('出现', 'chuxian', 0.9127675887899918)
('希臘', 'xila', 0.9073900112784004)
('後代', 'houdai', 0.9293665864074767)
('石虎', 'shihu', 0.9138840178272366)
('時間', 'shijian', 0.9013206782399558)
('也', 'ye', 0.9285257308758029)
('傳播', 'chuanbo', 0.9311879123811355)
('農業', 'nongye', 0.9276715321106086)
('隨著', 'suizhu', 0.9318689287090264)
('千年', 'qiannian', 0.9204366036404941)
('農民', 'nongmin', 0.920503110327036)
('並', 'bing', 0.9130558544738367)
('早期', 'zaoqi', 0.9206926155201182)
('將', 'jiang', 0.9148158487444401)
('哺乳', 'buru', 0.917227386482272)
('表明', 'biaoming', 0.9137492493047382)
('證據', 'zhengju', 0.9150655882563484)
('塞浦路斯', 'saipulusi', 0.9257181619591182)
('古代人', 'gudairen', 0.9007623516569225)
('選擇', 'xuanze', 0.9023911939864808)
('野猫', 'yemao', 0.9322334190871122)
('以', 'yi', 0.9133884319627322)
('\n', '\n', 0.9278656737266426)
('行為', 'xingwei', 0.9290832981430466)
('這', 'zhe', 0.9148632827851019)
('結束', 'jieshu', 0.915335508763974)
('才', 'cai', 0.926007203974321)
('後', 'hou', 0.9208350695602615)
('約18', 'yue18', 0.9307109323142418)
('直到', 'zhidao', 0.9314959143232451)
('蔓延', 'manyan', 0.9354852071049496)
